ts_code,end_date,name,Acquisition_of_subsidiary_cash_out,Add_depreciation_amortization,Add_finance_cost_expense,Add_impairment_provision,Add_other_operating_adjust,Add_share_based_payment_exp,Bond_redemption_payment,Capital_exp_fixed_asset,Capital_exp_intangible_other_asset,Cash_at_period_begin,Cash_at_period_end,Cash_generated_from_ops,Cash_outflow_for_investment,Cash_paid_for_minority_equity_subsidiary,Change_in_advance_other_payable,Change_in_customer_deposit_ops,Change_in_deferred_income,Change_in_deposit,Change_in_inventory,Change_in_loan_advance,Change_in_notes_receivable,Change_in_prepayment_other_receivable,Change_in_property_under_dev,Change_in_related_payable,Change_in_related_receivable_invest,Change_in_related_receivable_ops,Change_in_restricted_cash,Change_in_trade_payable_accrued,Change_in_trade_receivable,Change_in_trading_investment,Dividend_paid_financing,Dividend_received_investing,Dividend_received_operating,EBITDA_group,FX_effect_on_cash,Government_grant_investing,Income_tax_paid,Interest_paid_financing,Interest_paid_operating,Interest_received_financing,Interest_received_investing,Interest_received_operating,Issue_cost_payment,Less_FX_gain,Less_gain_on_asset_disposal,Less_government_grant,Less_interest_income,Less_investment_income,Less_revaluation_surplus,Less_share_profit_subsidiary,Net_cash_before_financing,Net_cash_from_financing,Net_cash_from_investing,Net_cash_from_operating,Net_change_in_cash,New_borrowings_proceeds,Non_operating_items,Operating_profit_before_wc_movement,Other_items_financing_cf,Other_items_investing_cf,Other_items_operating_cf,Other_items_working_cap_change,Other_period_adjust_items,Proceeds_from_bond_issue,Proceeds_from_disposal_investment,Proceeds_from_new_investment,Proceeds_from_sale_fixed_asset,Proceeds_from_sale_intangible_other,Proceeds_from_sale_subsidiary,Proceeds_from_share_issue,Profit_before_tax_operating,Repayment_finance_lease,Repayment_of_borrowings,Share_repurchase_cash_out
00080.HK,20190630,中国新经济投资,,11402.15,542584.84,,,,,,,2452163.09,928276.17,-19671606.11,,,611621.44,,,,,,,-67829.7,,-4223791.29,,1897060.68,,,,,,,,,,,,539733.87,,,,13761.4,678828.34,-67865.77,,,13762.28,,-7092806.78,,-19657844.71,18133957.79,,-19657844.71,-1523886.92,,928276.17,-3549563.57,,,,-14339103.67,,,,,,,,19352520.0,-11250460.83,,,
00083.HK,20251231,信和置业,,,,,,,,47870660.0,61418960.0,15218353780.0,12273856580.0,,12645080.0,,,,,-4712098740.0,,,,,,,,,,,,,629544340.0,232127540.0,,,,,,27999820.0,,,580770460.0,,,,,,,,,,-3807975520.0,859865440.0,-3945264960.0,137289440.0,-2948110080.0,1606828380.0,72599920380.0,,,-146321640.0,,,3612880.0,,,,,,222192120.0,,,19870840.0,69547940.0,
00083.HK,20250630,信和置业,544434150.0,144088100.0,54717000.0,108522050.0,,,,103050350.0,286352300.0,6070851150.0,15365445550.0,4129309600.0,221603850.0,,,,,4837894750.0,1978019550.0,430440400.0,,,-877295900.0,,,,,-273585000.0,-65660400.0,,1055126150.0,341069300.0,62012600.0,,,,772421650.0,40125800.0,,,2362862450.0,82075500.0,,,,,82075500.0,2121195700.0,-587295800.0,29182400.0,10343336900.0,-1058773950.0,6842360850.0,3500976050.0,9284562950.0,1232044450.0,77477448100.0,2740409750.0,,278144750.0,,196981200.0,10031450.0,,,,911950.0,,176918300.0,,4078240400.0,38301900.0,1157264550.0,
00083.HK,20241231,信和置业,536177160.0,,,,,,,24077040.0,,6164648280.0,22230516240.0,,,,,,,14897205480.0,,,,,,,,,,,,,801024600.0,62970720.0,,,,,,21298920.0,,,1273305000.0,,,,,,,,,,17006724600.0,-888998400.0,15787129920.0,1219594680.0,16117726200.0,1087170960.0,88635918600.0,,,106494600.0,,,-51858240.0,,,,,,7408320.0,,,21298920.0,1132546920.0,
00083.HK,20240630,信和置业,,146028800.0,39245240.0,697287520.0,-131425920.0,,,62974920.0,,12561214840.0,6075710760.0,1738655400.0,,,,,,-8752601200.0,2517171440.0,228170000.0,,,-2657724160.0,,,,,-271978640.0,5476080.0,,937322360.0,772127280.0,58411520.0,,,,821412000.0,56586160.0,,,1809844440.0,73014400.0,,,,,,2135671200.0,-183448680.0,583202520.0,-5208664760.0,-1280490040.0,-6257334080.0,1048669320.0,-6489154800.0,955575960.0,54515289080.0,2569194200.0,,-25555040.0,,-651653520.0,3650720.0,,,,912680.0,912680.0,,,4353483600.0,40157920.0,1201999560.0,
00083.HK,20231231,信和置业,31717700.0,,,,,,,27186600.0,,12472305860.0,10172319500.0,,,,,,,-2478511700.0,,,,,,,,,,,,,625291800.0,207524380.0,,,,,,33530140.0,,,871783640.0,,,,,,,,,,-715007580.0,-1604009400.0,-2110586380.0,1395578800.0,-2319016980.0,156776060.0,60357876880.0,,,-653384620.0,,,19030620.0,,,,,906220.0,,,,19936840.0,1082026680.0,
00083.HK,20230630,信和置业,,182552040.0,37801180.0,17517620.0,-79290280.0,,,99573840.0,,16243443640.0,12689210740.0,1724102600.0,,,,,,-2768705940.0,4045648240.0,-565173740.0,,,-4037350420.0,,,,,-255388460.0,91276020.0,,478507620.0,1241907060.0,35035240.0,,,,2333531380.0,106027700.0,,,784604980.0,44255040.0,,,,,,1282474180.0,169644320.0,854675460.0,-2162965080.0,-1300913780.0,-1632826580.0,-530138500.0,-3463878860.0,868505160.0,65882846840.0,4066853780.0,,-796590720.0,,-1621762820.0,-90354040.0,,,,2765940.0,2765940.0,,,6215067180.0,47942960.0,1536940660.0,
00083.HK,20221231,信和置业,388617509.22,,,,,,,13613008.71,,15737431309.73,7511816879.27,,,,,,,-7938156374.86,,,,,,,,,,,,,331135223.84,887066079.06,,,,,,44450999.11,,,159749588.53,,,,,,,,,,-7494404535.1,-657566099.28,-9129200779.79,1634796244.69,-8151970634.38,85805581.38,54784838894.92,,-6387.77,-1837930618.11,,,-73643796.08,,,,,2301063.52,,,,25803988.75,341975081.19,
00083.HK,20220630,信和置业,498156486.59,154804503.77,26661278.58,7909924.26,-50995815.22,,,44884628.34,,24440292249.91,15066546376.54,5798636754.85,,,,,,-9929989621.89,4588646842.08,-513297650.34,,,-2223180444.59,-2793249032.16,,,,185350443.59,197876298.64,,3506867254.41,444378958.94,20413845.39,,,,340621400.49,37862193.75,,,343148664.82,50995815.22,,,3486418.07,,,311305728.45,-558195656.42,279996106.53,-4046062982.71,-5276366088.43,-9575487997.68,5529425014.98,-9322429071.14,199109604.05,68432327169.78,6356490297.64,,-4720918.18,,,-51316802.24,,,,144996.61,49596596.96,64994440.0,,6254703002.88,47351852.34,1883394391.98,
00083.HK,20211231,信和置业,476256150.14,,,,,,,23016562.56,,23366015673.16,18229804690.98,,,,,,,-3443687117.46,,,,,,,,,,,,,2386126638.91,23853480.0,,,,,,16857663.52,,,,,,,,,,,,,-1185908226.73,-3980208037.88,-4624310411.31,3438402184.58,-5166116264.61,92105508.96,70851077577.83,,-12480.66,-707287019.79,,,29905282.43,,,,,2082958.64,,,,23264063.98,1646052699.76,
