hsi_return,trade_date
-0.015107061252961795,2022-07-21
0.0016772969518077385,2022-07-22
-0.0022417806116066252,2022-07-25
0.01667764509212133,2022-07-26
-0.011281122209650385,2022-07-27
-0.002291208780825227,2022-07-28
-0.022604721061422417,2022-07-29
0.00046288163146734895,2022-08-01
-0.023635460260670538,2022-08-02
0.0039554102242702616,2022-08-03
0.02058720944594028,2022-08-04
0.0013829848618098772,2022-08-05
-0.007730442031932849,2022-08-08
-0.0021116713957530786,2022-08-09
-0.019626605229315586,2022-08-10
0.02404740681721984,2022-08-11
0.004640347536384315,2022-08-12
-0.006679337307356925,2022-08-15
-0.010495550106618068,2022-08-16
0.0046357679815263175,2022-08-17
-0.007957809843520236,2022-08-18
0.0004614036672352384,2022-08-19
-0.005869046486637219,2022-08-22
-0.00782065531348497,2022-08-23
-0.012024137803955726,2022-08-24
0.036309619440084484,2022-08-25
0.010098876045341543,2022-08-26
-0.007279031980060191,2022-08-29
-0.003705268365664094,2022-08-30
0.00026875132845893823,2022-08-31
-0.01789481246686775,2022-09-01
-0.007410236357567768,2022-09-02
-0.011638370314886237,2022-09-05
-0.0011946899688100032,2022-09-06
-0.008250372922633309,2022-09-07
-0.009960021258000218,2022-09-08
0.02692342155462768,2022-09-09
-0.001827815723895676,2022-09-13
-0.024823472676868907,2022-09-14
0.004418783352668987,2022-09-15
-0.00891114698130635,2022-09-16
-0.010431829739480092,2022-09-19
0.011604522176356546,2022-09-20
-0.017932658055194395,2022-09-21
-0.016084361493893473,2022-09-22
-0.011829418570237005,2022-09-23
-0.004356645959837646,2022-09-26
0.0002895480905795722,2022-09-27
-0.03412200957539513,2022-09-28
-0.004927963936624202,2022-09-29
0.003318267023555199,2022-09-30
-0.008321530889515816,2022-10-03
0.05904507514200863,2022-10-05
-0.004191753389278796,2022-10-06
-0.015106447785191879,2022-10-07
-0.02950333296414165,2022-10-10
-0.02232144781637513,2022-10-11
-0.007802238248314497,2022-10-12
-0.01867668850406512,2022-10-13
0.012116587520485611,2022-10-14
0.0015198583004127908,2022-10-17
0.01815936292919962,2022-10-18
-0.023843381236024586,2022-10-19
-0.013994044080898771,2022-10-20
-0.004244390464967607,2022-10-21
-0.06356313937909253,2022-10-24
-0.0009947232642311121,2022-10-25
0.010027969877325571,2022-10-26
0.007198908735787768,2022-10-27
-0.03661414574093236,2022-10-28
-0.011844131972270522,2022-10-31
0.052308094121163995,2022-11-01
0.024063015521860187,2022-11-02
-0.030812816814834942,2022-11-03
0.053564323292910165,2022-11-04
0.026902218362709007,2022-11-07
-0.0023258507072878576,2022-11-08
-0.012006238275365289,2022-11-09
-0.016962384136133157,2022-11-10
0.07739674263382157,2022-11-11
0.01697198136164091,2022-11-14
0.04105675772383832,2022-11-15
-0.004723224616860255,2022-11-16
-0.01154769742507955,2022-11-17
-0.002943704651979795,2022-11-18
-0.01870936086789443,2022-11-21
-0.013111756797088758,2022-11-22
